filename,purpose,view,dimensions_or_viewBox,anchor_point,source_creator,license,status
exports/characters/citizen-01-sheet.png,citizen 01 sheet,both,512x128,"64,124 per 128px frame",Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
exports/characters/citizen-01-still.png,citizen 01 still,both,128x128,"64,124 per 128px frame",Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
exports/characters/citizen-02-sheet.png,citizen 02 sheet,both,512x128,"64,124 per 128px frame",Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
exports/characters/citizen-02-still.png,citizen 02 still,both,128x128,"64,124 per 128px frame",Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
exports/characters/citizen-03-sheet.png,citizen 03 sheet,both,512x128,"64,124 per 128px frame",Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
exports/characters/citizen-03-still.png,citizen 03 still,both,128x128,"64,124 per 128px frame",Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
exports/characters/emergency-sheet.png,emergency sheet,both,512x128,"64,124 per 128px frame",Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
exports/characters/emergency-still.png,emergency still,both,128x128,"64,124 per 128px frame",Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
exports/characters/maintenance-sheet.png,maintenance sheet,both,512x128,"64,124 per 128px frame",Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
exports/characters/maintenance-still.png,maintenance still,both,128x128,"64,124 per 128px frame",Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
exports/characters/mayor-sheet.png,mayor sheet,both,512x128,"64,124 per 128px frame",Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
exports/characters/mayor-still.png,mayor still,both,128x128,"64,124 per 128px frame",Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
exports/effects/better-transit.svg,better transit,both,0 0 64 64,center,Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
exports/effects/citizen-calm.svg,citizen calm,both,0 0 64 64,center,Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
