id,road,from,to,historical_load_score,importance_0_1,period_note,source_url
corridor_01,Бөгенбай батыр даңғылы,Желтоқсан,Бейбітшілік,99.365,0.9936,"Published historical study; use as initial importance seed, NOT as current/live traffic.",https://bulletin-geography.kaznu.kz/index.php/1-geo/article/view/1202
corridor_02,Сарыарқа даңғылы,Парк «Нұр-Сұлтан»,Тарас Шевченко,98.705,0.987,"Published historical study; use as initial importance seed, NOT as current/live traffic.",https://bulletin-geography.kaznu.kz/index.php/1-geo/article/view/1202
corridor_03,Бөгенбай батыр даңғылы,Мұхтар Әуезов,Республика даңғылы,95.258,0.9526,"Published historical study; use as initial importance seed, NOT as current/live traffic.",https://bulletin-geography.kaznu.kz/index.php/1-geo/article/view/1202
corridor_04,Тұран даңғылы,Қорғалжын тас жолы,Парк «Нұр-Сұлтан»,89.242,0.8924,"Published historical study; use as initial importance seed, NOT as current/live traffic.",https://bulletin-geography.kaznu.kz/index.php/1-geo/article/view/1202
corridor_05,Республика даңғылы,Қабанбай батыр даңғылы,Амангелді Иманов,88.619,0.8862,"Published historical study; use as initial importance seed, NOT as current/live traffic.",https://bulletin-geography.kaznu.kz/index.php/1-geo/article/view/1202
corridor_06,Мәңгілік Ел даңғылы,Ұлы Дала даңғылы,Қонаев,86.819,0.8682,"Published historical study; use as initial importance seed, NOT as current/live traffic.",https://bulletin-geography.kaznu.kz/index.php/1-geo/article/view/1202
corridor_07,Қабанбай батыр даңғылы,Парк «Нұр-Сұлтан»,Жұмабек Тәшенов,86.71,0.8671,"Published historical study; use as initial importance seed, NOT as current/live traffic.",https://bulletin-geography.kaznu.kz/index.php/1-geo/article/view/1202
corridor_08,Бөгенбай батыр даңғылы,Сарыарқа даңғылы,Бекетай,86.625,0.8662,"Published historical study; use as initial importance seed, NOT as current/live traffic.",https://bulletin-geography.kaznu.kz/index.php/1-geo/article/view/1202
corridor_09,Бөгенбай батыр даңғылы,Ж. Аймауытов,Генерал Сабыр Рақымов,83.459,0.8346,"Published historical study; use as initial importance seed, NOT as current/live traffic.",https://bulletin-geography.kaznu.kz/index.php/1-geo/article/view/1202
corridor_10,Н. Тілендиев даңғылы,Шабал Бейсеков,Мәскеу,82.103,0.821,"Published historical study; use as initial importance seed, NOT as current/live traffic.",https://bulletin-geography.kaznu.kz/index.php/1-geo/article/view/1202
corridor_11,Алаш тас жолы,Шоқан Уәлиханов,Ақжол,81.99,0.8199,"Published historical study; use as initial importance seed, NOT as current/live traffic.",https://bulletin-geography.kaznu.kz/index.php/1-geo/article/view/1202
corridor_12,Сарыарқа даңғылы,Тарас Шевченко,Кенесары,77.162,0.7716,"Published historical study; use as initial importance seed, NOT as current/live traffic.",https://bulletin-geography.kaznu.kz/index.php/1-geo/article/view/1202
corridor_13,Бөгенбай батыр даңғылы,Сарыарқа даңғылы,Жеңіс даңғылы,76.621,0.7662,"Published historical study; use as initial importance seed, NOT as current/live traffic.",https://bulletin-geography.kaznu.kz/index.php/1-geo/article/view/1202
corridor_14,Бөгенбай батыр даңғылы,Мәскеу,Бекетай,72.455,0.7246,"Published historical study; use as initial importance seed, NOT as current/live traffic.",https://bulletin-geography.kaznu.kz/index.php/1-geo/article/view/1202
corridor_15,Республика даңғылы,Амангелді Иманов,Кенесары,71.48,0.7148,"Published historical study; use as initial importance seed, NOT as current/live traffic.",https://bulletin-geography.kaznu.kz/index.php/1-geo/article/view/1202
corridor_16,Тәуелсіздік даңғылы,Гейдар Әлиев,Жұмабек Тәшенов,70.498,0.705,"Published historical study; use as initial importance seed, NOT as current/live traffic.",https://bulletin-geography.kaznu.kz/index.php/1-geo/article/view/1202
