"filename","purpose","view","viewBox","anchor point","source/creator","license","status"
"M01-tilted-object.svg","Placed object","tilted","0 0 160 120","80,110","Original project artwork; no third-party source","Project-owned; redistribution license not specified","final"
"M01-ui-icon.svg","UI icon","both","0 0 64 64","32,32","Original project artwork; no third-party source","Project-owned; redistribution license not specified","final"
"M01-world-marker.svg","World marker","both","0 0 64 80","32,77","Original project artwork; no third-party source","Project-owned; redistribution license not specified","final"
"M02-tilted-object.svg","Placed object","tilted","0 0 160 120","80,110","Original project artwork; no third-party source","Project-owned; redistribution license not specified","final"
"M02-ui-icon.svg","UI icon","both","0 0 64 64","32,32","Original project artwork; no third-party source","Project-owned; redistribution license not specified","final"
"M02-world-marker.svg","World marker","both","0 0 64 80","32,77","Original project artwork; no third-party source","Project-owned; redistribution license not specified","final"
"M03-tilted-object.svg","Placed object","tilted","0 0 160 120","80,110","Original project artwork; no third-party source","Project-owned; redistribution license not specified","final"
"M03-ui-icon.svg","UI icon","both","0 0 64 64","32,32","Original project artwork; no third-party source","Project-owned; redistribution license not specified","final"
"M03-world-marker.svg","World marker","both","0 0 64 80","32,77","Original project artwork; no third-party source","Project-owned; redistribution license not specified","final"
"M04-tilted-object.svg","Placed object","tilted","0 0 160 120","80,110","Original project artwork; no third-party source","Project-owned; redistribution license not specified","final"
"M04-ui-icon.svg","UI icon","both","0 0 64 64","32,32","Original project artwork; no third-party source","Project-owned; redistribution license not specified","final"
"M04-world-marker.svg","World marker","both","0 0 64 80","32,77","Original project artwork; no third-party source","Project-owned; redistribution license not specified","final"
"M05-tilted-object.svg","Placed object","tilted","0 0 160 120","80,110","Original project artwork; no third-party source","Project-owned; redistribution license not specified","final"
"M05-ui-icon.svg","UI icon","both","0 0 64 64","32,32","Original project artwork; no third-party source","Project-owned; redistribution license not specified","final"
"M05-world-marker.svg","World marker","both","0 0 64 80","32,77","Original project artwork; no third-party source","Project-owned; redistribution license not specified","final"
"M06-tilted-object.svg","Placed object","tilted","0 0 160 120","80,110","Original project artwork; no third-party source","Project-owned; redistribution license not specified","final"
"M06-ui-icon.svg","UI icon","both","0 0 64 64","32,32","Original project artwork; no third-party source","Project-owned; redistribution license not specified","final"
"M06-world-marker.svg","World marker","both","0 0 64 80","32,77","Original project artwork; no third-party source","Project-owned; redistribution license not specified","final"
"M07-tilted-object.svg","Placed object","tilted","0 0 160 120","80,110","Original project artwork; no third-party source","Project-owned; redistribution license not specified","final"
"M07-ui-icon.svg","UI icon","both","0 0 64 64","32,32","Original project artwork; no third-party source","Project-owned; redistribution license not specified","final"
"M07-world-marker.svg","World marker","both","0 0 64 80","32,77","Original project artwork; no third-party source","Project-owned; redistribution license not specified","final"
